Concept2 Utility - Version 7.14.0
Log Data for:,
,,,,,Total Workout Results,,,,Split or Work Interval Results,,,,Results Calculated by Formulas,,,Interval Rest Results
,Name,Date,Time of Day,Workout Name,Time,Meters,Avg SPM,Avg Heart Rate,Time,Meters,SPM,Heart Rate,/500m,Cal/hr,Watt,Time,Meters,Heart Rate

,,2025-04-14,11:43,0:30:09,,,,,05:00.0,1072,25,142,02:19.9,739,128
,,2025-04-14,11:43,0:30:09,,,,,10:00.0,1042,28,141,02:23.9,703,117
,,2025-04-14,11:43,0:30:09,,,,,15:00.0,1005,28,142,02:29.2,662,105
,,2025-04-14,11:43,0:30:09,,,,,20:00.0,982,27,140,02:32.7,637,98
,,2025-04-14,11:43,0:30:09,,,,,25:00.0,968,27,143,02:34.9,623,94
,,2025-04-14,11:43,0:30:09,,,,,30:00.0,961,27,140,02:36.0,616,92
,,2025-04-14,11:43,0:30:09,,,,,30:09.5,27,13,141,02:55.9,521,64

,,2025-04-11,11:54,0:30:10,30:10.1,6411,28,154,,,,,02:21.1,728,124
,,2025-04-11,11:54,0:30:10,,,,,05:00.0,1142,27,154,02:11.3,831,154
,,2025-04-11,11:54,0:30:10,,,,,10:00.0,1082,29,155,02:18.6,752,131
,,2025-04-11,11:54,0:30:10,,,,,15:00.0,1059,29,154,02:21.6,723,123
,,2025-04-11,11:54,0:30:10,,,,,20:00.0,1048,29,155,02:23.1,710,119
,,2025-04-11,11:54,0:30:10,,,,,25:00.0,1029,29,156,02:25.7,688,113
,,2025-04-11,11:54,0:30:10,,,,,30:00.0,1020,29,157,02:27.0,678,110
,,2025-04-11,11:54,0:30:10,,,,,30:10.1,31,12,149,02:42.9,578,81

,,2025-04-09,14:02,0:30:11,30:11.1,6082,26,133,,,,,02:28.8,664,106
,,2025-04-09,14:02,0:30:11,,,,,05:00.0,1061,26,133,02:21.3,726,124
,,2025-04-09,14:02,0:30:11,,,,,10:00.0,1025,27,132,02:26.3,684,112
,,2025-04-09,14:02,0:30:11,,,,,15:00.0,1008,27,131,02:28.8,665,106
,,2025-04-09,14:02,0:30:11,,,,,20:00.0,1003,26,136,02:29.5,660,105
,,2025-04-09,14:02,0:30:11,,,,,25:00.0,979,27,132,02:33.2,634,97
,,2025-04-09,14:02,0:30:11,,,,,30:00.0,975,26,135,02:33.8,630,96
,,2025-04-09,14:02,0:30:11,,,,,30:11.1,32,16,135,02:53.4,530,67

,,2025-03-26,18:41,0:32:46,32:46.2,6053,23,127,,,,,02:42.4,581,82
,,2025-03-26,18:41,0:32:46,,,,,05:00.0,974,23,125,02:34.0,629,96
,,2025-03-26,18:41,0:32:46,,,,,10:00.0,961,23,128,02:36.0,616,92
,,2025-03-26,18:41,0:32:46,,,,,15:00.0,927,23,126,02:41.8,584,83
,,2025-03-26,18:41,0:32:46,,,,,20:00.0,922,24,127,02:42.6,579,81
,,2025-03-26,18:41,0:32:46,,,,,25:00.0,899,24,129,02:46.8,559,75
,,2025-03-26,18:41,0:32:46,,,,,30:00.0,886,23,130,02:49.3,548,72
,,2025-03-26,18:41,0:32:46,,,,,32:46.2,485,23,129,02:51.3,539,70

,,2025-03-23,11:18,0:40:07,40:07.0,7700,24,129,,,,,02:36.2,615,92
,,2025-03-23,11:18,0:40:07,,,,,05:00.0,1014,23,128,02:27.9,672,108
,,2025-03-23,11:18,0:40:07,,,,,10:00.0,993,24,128,02:31.0,649,102
,,2025-03-23,11:18,0:40:07,,,,,15:00.0,980,24,129,02:33.0,635,98
,,2025-03-23,11:18,0:40:07,,,,,20:00.0,970,25,132,02:34.6,625,95
,,2025-03-23,11:18,0:40:07,,,,,25:00.0,949,24,131,02:38.0,605,89
,,2025-03-23,11:18,0:40:07,,,,,30:00.0,929,24,127,02:41.4,586,83
,,2025-03-23,11:18,0:40:07,,,,,35:00.0,925,24,130,02:42.1,582,82
,,2025-03-23,11:18,0:40:07,,,,,40:00.0,922,25,130,02:42.6,579,81
,,2025-03-23,11:18,0:40:07,,,,,40:07.0,18,9,129,03:14.4,463,48

,,2025-03-20,10:02,0:35:29,35:29.4,6886,24,130,,,,,02:34.6,625,95
,,2025-03-20,10:02,0:35:29,,,,,05:00.0,1029,24,127,02:25.7,688,113
,,2025-03-20,10:02,0:35:29,,,,,10:00.0,996,24,131,02:30.6,652,102
,,2025-03-20,10:02,0:35:29,,,,,15:00.0,978,25,129,02:33.3,633,97
,,2025-03-20,10:02,0:35:29,,,,,20:00.0,956,25,128,02:36.9,611,91
,,2025-03-20,10:02,0:35:29,,,,,25:00.0,946,25,131,02:38.5,602,88
,,2025-03-20,10:02,0:35:29,,,,,30:00.0,947,25,134,02:38.3,603,88
,,2025-03-20,10:02,0:35:29,,,,,35:00.0,945,25,131,02:38.7,601,88
,,2025-03-20,10:02,0:35:29,,,,,35:29.4,89,20,132,02:45.1,567,78

,,2025-03-16,16:56,0:35:09,35:09.7,6704,23,127,,,,,02:37.3,609,90
,,2025-03-16,16:56,0:35:09,,,,,05:00.0,990,22,123,02:31.5,646,101
,,2025-03-16,16:56,0:35:09,,,,,10:00.0,984,23,126,02:32.4,640,99
,,2025-03-16,16:56,0:35:09,,,,,15:00.0,969,24,126,02:34.7,624,94
,,2025-03-16,16:56,0:35:09,,,,,20:00.0,966,24,135,02:35.2,621,93
